id,room_id,start_at,end_at,user_id,rssi
1400,1,2022-10-08 10:29:48,2022-10-08 12:09:47,6,-78
1401,1,2022-10-08 12:07:30,2022-10-08 12:09:47,5,-71
1402,1,2022-10-08 12:41:35,2022-10-08 18:06:32,11,-71
1403,1,2022-10-08 13:17:56,2022-10-08 13:20:13,5,-84
1404,1,2022-10-08 14:55:38,2022-10-08 15:22:55,17,-76
1405,1,2022-10-08 16:35:37,2022-10-08 16:42:27,5,-75
1406,1,2022-10-08 16:35:37,2022-10-08 16:42:27,6,-66
1407,1,2022-10-08 19:12:25,2022-10-08 19:32:54,5,-72
1408,1,2022-10-08 21:33:14,2022-10-08 21:35:31,28,-96
1409,1,2022-10-08 21:40:04,2022-10-08 21:42:21,28,-100
1410,3,2022-10-08 21:55:50,2022-10-09 09:38:36,28,-72
1411,1,2022-10-09 10:43:35,2022-10-09 15:34:32,6,-65
1412,1,2022-10-09 11:17:45,2022-10-09 11:24:34,28,-65
1413,3,2022-10-09 11:29:29,2022-10-09 11:35:39,28,-83
1414,1,2022-10-09 11:45:02,2022-10-09 11:51:51,5,-78
1415,1,2022-10-09 14:46:47,2022-10-09 15:11:48,5,-63
1416,1,2022-10-09 15:36:50,2022-10-09 15:48:12,6,-61
1417,1,2022-10-09 19:05:45,2022-10-09 19:08:02,20,-68
1418,1,2022-10-10 11:51:36,2022-10-10 11:54:28,1,-79
1419,5,2022-10-10 11:54:28,2022-10-10 17:18:47,1,-75
1420,1,2022-10-10 12:41:34,2022-10-10 18:20:16,11,-69
1421,1,2022-10-11 07:44:04,2022-10-11 07:48:37,15,-66
1422,3,2022-10-11 07:49:53,2022-10-11 12:33:25,15,-65
1423,1,2022-10-11 08:06:47,2022-10-11 08:11:52,1,-83
1424,5,2022-10-11 08:11:52,2022-10-11 18:05:25,1,-78
1425,1,2022-10-11 08:29:31,2022-10-11 10:41:28,12,-63
1426,1,2022-10-11 10:23:10,2022-10-11 18:12:29,6,-64
1427,1,2022-10-11 10:27:43,2022-10-11 12:46:51,10,-87
1428,1,2022-10-11 10:32:17,2022-10-11 11:45:20,11,-74
1429,1,2022-10-11 10:39:11,2022-10-11 14:47:31,2,-52
1430,1,2022-10-11 10:43:45,2022-10-11 11:06:32,12,-70
1431,1,2022-10-11 10:43:45,2022-10-11 14:38:25,4,-74
